epoch,train_accuracy,test_accuracy,train_loss,test_loss,learning_rate
106,75.256,74.8,0.6967284629107131,0.7100611537694931,9.765625e-05
107,75.28,75.07,0.6974615815960233,0.7126229506731033,9.765625e-05
108,75.21,74.89,0.6982351479018131,0.7120406609773636,9.765625e-05
109,75.382,74.87,0.6941132772609097,0.7134347465634346,9.765625e-05
110,75.474,74.96,0.6972115442271123,0.7107605728507042,9.765625e-05
111,75.21,74.76,0.6950007720524088,0.7105910709500313,9.765625e-05
112,75.19,74.74,0.6944073339557404,0.7104331091046333,4.8828125e-05
113,75.552,74.89,0.6909085875734344,0.7073454308509827,4.8828125e-05
114,75.32,75.19,0.6928371848047846,0.7071490877866745,4.8828125e-05
115,75.462,74.9,0.6876660920774845,0.709956097304821,4.8828125e-05
116,75.39,75.08,0.6916137964981596,0.7080427825450897,4.8828125e-05
117,75.232,75.21,0.6929057338048735,0.7080551305413246,4.8828125e-05
118,75.784,75.09,0.686557282343545,0.7067403945326806,4.8828125e-05
119,75.374,74.87,0.6857072560073775,0.7086677694320679,4.8828125e-05
120,75.708,75.23,0.6857269817148633,0.7044801732897759,4.8828125e-05
121,75.518,75.23,0.6874234688556408,0.7056691667437553,4.8828125e-05
122,75.778,75.24,0.6847936749610755,0.7060480231046676,4.8828125e-05
123,75.702,74.93,0.6858340726636559,0.7060378700494766,4.8828125e-05
124,75.512,74.96,0.6878913680610754,0.7052962988615036,4.8828125e-05
125,75.758,75.29,0.6811384117359396,0.7025029504299164,4.8828125e-05
126,75.634,75.03,0.6833098820408287,0.7035849609971047,4.8828125e-05
127,75.634,75.1,0.684583783911927,0.7034099552035332,4.8828125e-05
128,75.914,75.26,0.6804801478715199,0.7016202899813652,4.8828125e-05
129,75.894,75.24,0.6792782708964384,0.7064712160825729,4.8828125e-05
130,75.918,75.21,0.6809423348635358,0.7039285030961037,2.44140625e-05
131,75.86,75.16,0.6817953793136665,0.7009687453508378,2.44140625e-05
132,75.954,75.3,0.6782855325190308,0.7007763049006462,2.44140625e-05
133,76.042,75.36,0.6777955327954743,0.6991530773043633,2.44140625e-05
134,75.936,75.42,0.6766598290189758,0.699895056784153,2.44140625e-05
135,76.054,75.48,0.6780078530006701,0.6986655986309052,2.44140625e-05
