epoch,train_accuracy,test_accuracy,train_loss,test_loss,learning_rate
1,33.174,42.83,1.7919943119253954,1.542315855026245,0.1
2,50.584,55.43,1.349538041350177,1.2208092230558396,0.09999605221019081
3,59.844,59.17,1.1181927495600317,1.1835789042711258,0.09998420946416499
4,67.386,63.37,0.9158617264169562,1.0750060647726059,0.09996447363202945
5,72.702,68.47,0.7815879330305797,0.9309911090135574,0.09993684783030087
6,76.406,74.68,0.6808345540405234,0.7697895920276642,0.09990133642141356
7,78.728,73.61,0.6165383380392323,0.7778905037045479,0.09985794501303068
8,80.312,78.2,0.5737398445911115,0.6504289290308952,0.09980668045715861
9,81.338,64.81,0.5448086972126875,1.1166254061460494,0.099747550849065
10,81.986,77.03,0.5270335181899692,0.6807896137237549,0.09968056552600041
11,82.698,74.94,0.5061875614516266,0.7437131100893021,0.09960573506572389
12,83.516,82.11,0.481285701855979,0.5485094770789146,0.09952307128483254
13,83.552,75.21,0.4766503756156053,0.8101361721754075,0.09943258723689569
14,84.24,76.05,0.4632872622412489,0.7717037582397461,0.09933429721039339
15,84.242,66.63,0.4544561029700062,1.1748643571138382,0.09922821672646026
16,84.778,80.16,0.44409621684142697,0.5946416670083999,0.09911436253643442
17,85.052,77.57,0.43413499615076556,0.6804274150729179,0.09899275261921232
18,85.042,79.97,0.43876495214222033,0.5876423195004463,0.09886340617840966
19,85.762,79.38,0.4191195857341942,0.610797598361969,0.09872634363932885
20,85.838,81.86,0.4179723988027524,0.563677961230278,0.09858158664573369
21,86.086,80.92,0.41030084983924464,0.573129343688488,0.09842915805643154
22,86.334,81.4,0.4021219779234713,0.5559471639990806,0.09826908194166369
23,86.252,83.92,0.4030023451961215,0.46732816338539124,0.09810138357930429
24,86.528,80.38,0.39749019267156604,0.6185257741808892,0.09792608945086878
25,86.806,82.68,0.39022293469637553,0.5179359325766564,0.09774322723733214
26,86.69,80.89,0.38799093377864574,0.5901671653985977,0.09755282581475767
27,86.94,76.37,0.3831155056996114,0.7308861982822418,0.0973549152497372
28,86.75,84.09,0.38891415099811066,0.48453342080116274,0.09714952679464323
29,87.006,79.36,0.38086385803911693,0.6397006660699844,0.0969366928826937
30,87.182,81.18,0.37666678699233647,0.5604160329699517,0.0967164471228306
31,87.288,78.35,0.3737539235893113,0.7064985212683678,0.09648882429441256
32,87.26,80.23,0.37179705923628015,0.5946667164564132,0.0962538603417229
33,87.38,80.57,0.37010882051704486,0.6378203067183494,0.09601159236829353
34,87.364,84.35,0.37250496626205154,0.4667916065454483,0.09576205863104588
35,87.6,84.19,0.36455990305489594,0.49064934998750687,0.09550529853424979
36,87.642,80.33,0.36497814656066163,0.6290263539552688,0.09524135262330098
37,87.718,84.76,0.36149438613515983,0.453680437207222,0.09497026257831856
38,87.802,80.8,0.3599953126648198,0.6067810666561126,0.09469207120756319
39,87.87,77.57,0.35609360690921776,0.7378517398238182,0.09440682244067723
40,87.972,81.94,0.3553280418410021,0.5298910194635391,0.09411456132174767
41,87.714,85.79,0.360541374062943,0.43799914509057997,0.09381533400219318
42,87.964,81.09,0.352511488415701,0.5807159328460694,0.09350918773347629
43,88.046,81.59,0.3514468092137895,0.5582258313894272,0.09319617085964176
44,88.02,85.14,0.34676138542192364,0.4394604489207268,0.09287633280968262
45,87.916,81.42,0.34982411654861384,0.5786839058995247,0.09254972408973461
46,88.144,81.23,0.34628547350768846,0.6086205434799195,0.09221639627510077
47,88.142,85.45,0.34564782732435506,0.4455332651734352,0.09187640200210712
48,88.49,84.67,0.3404201058018238,0.4623264856636524,0.09152979495979066
49,88.366,80.69,0.34143199487720305,0.602947356402874,0.09117662988142139
50,88.488,85.8,0.3377205694804106,0.44002714157104494,0.09081696253585922
51,88.474,82.29,0.3403396592344469,0.542344257235527,0.0904508497187474
